"sample","view","target","metric","cut_type","cut_value","n_scored","n_official","coverage","estimate","lower","upper"
"strict","first_valid","btts","btts_log_loss","confidence","medium",39,104,0.375,0.700213915443142,0.681818156526055,0.718326080675369
"strict","first_valid","btts","btts_log_loss","outcome_class","away",27,104,0.259615384615385,0.687952728520062,0.66204607863705,0.714903984995151
"strict","first_valid","btts","btts_log_loss","outcome_class","draw",16,104,0.153846153846154,0.694440022668599,0.663400635275887,0.723896959210307
"strict","first_valid","btts","btts_log_loss","outcome_class","home",40,104,0.384615384615385,0.693478521114567,0.671430243499212,0.715291213948409
"strict","first_valid","btts","btts_log_loss","overall","all",83,104,0.798076923076923,0.691866323823156,0.677751597705952,0.707382073392666
"strict","first_valid","btts","btts_log_loss","stage","group",52,52,1,0.684622281720747,0.665666929111463,0.702870834171949
"strict","first_valid","btts","btts_log_loss","stage","knockout",31,31,1,0.704017620253004,0.681992211179314,0.727186747964738
"strict","first_valid","goals","away_xg_absolute_error","confidence","high",18,104,0.173076923076923,0.7610162851281,0.582968050929539,0.924044786591617
"strict","first_valid","goals","away_xg_absolute_error","confidence","low",26,104,0.25,0.848460385606649,0.657260444548957,1.03582760539002
"strict","first_valid","goals","away_xg_absolute_error","confidence","medium",39,104,0.375,0.915591074499961,0.685789051205068,1.14649022701483
"strict","first_valid","goals","away_xg_absolute_error","outcome_class","away",27,104,0.259615384615385,1.02227914565324,0.746946472952909,1.3061780325408
"strict","first_valid","goals","away_xg_absolute_error","outcome_class","draw",16,104,0.153846153846154,0.808292061967959,0.537134628834053,1.1019585680378
"strict","first_valid","goals","away_xg_absolute_error","outcome_class","home",40,104,0.384615384615385,0.77330262848631,0.625449972387235,0.917909996375657
"strict","first_valid","goals","away_xg_absolute_error","overall","all",83,104,0.798076923076923,0.861039940525026,0.73979275057856,0.999663689017167
"strict","first_valid","goals","away_xg_absolute_error","stage","group",52,52,1,0.888148011177591,0.73358213022732,1.06180518531542
"strict","first_valid","goals","away_xg_absolute_error","stage","knockout",31,31,1,0.815568338140077,0.618938358129694,1.00866766205895
"strict","first_valid","goals","home_xg_absolute_error","confidence","high",18,104,0.173076923076923,0.960438810280158,0.685685962437545,1.25197730509547
"strict","first_valid","goals","home_xg_absolute_error","confidence","low",26,104,0.25,0.876112490892224,0.670139677203983,1.09686088607066
"strict","first_valid","goals","home_xg_absolute_error","confidence","medium",39,104,0.375,0.984177540749579,0.680294567279939,1.32858823451176
"strict","first_valid","goals","home_xg_absolute_error","outcome_class","away",27,104,0.259615384615385,0.637905344267173,0.455132404810858,0.812258866027326
"strict","first_valid","goals","home_xg_absolute_error","outcome_class","draw",16,104,0.153846153846154,1.04416830974921,0.751033625115835,1.36171221944812
"strict","first_valid","goals","home_xg_absolute_error","outcome_class","home",40,104,0.384615384615385,1.11299025465683,0.838384898385369,1.43513568259095
"strict","first_valid","goals","home_xg_absolute_error","overall","all",83,104,0.798076923076923,0.945177679969569,0.773307887602368,1.12472890835583
"strict","first_valid","goals","home_xg_absolute_error","stage","group",52,52,1,1.11188634283617,0.872024015555949,1.38035019793484
"strict","first_valid","goals","home_xg_absolute_error","stage","knockout",31,31,1,0.665537342257845,0.511344651512161,0.815991715041772
"strict","first_valid","goals","total_xg_squared_error","confidence","high",18,104,0.173076923076923,2.64489465124237,1.26518269391924,4.26289665078348
"strict","first_valid","goals","total_xg_squared_error","confidence","low",26,104,0.25,2.61915536171161,1.60637124054837,3.83154687064932
"strict","first_valid","goals","total_xg_squared_error","confidence","medium",39,104,0.375,3.02897714616178,2.05154750632821,4.07398430220279
"strict","first_valid","goals","total_xg_squared_error","outcome_class","away",27,104,0.259615384615385,2.132381786457,1.34018581930794,3.0521736776095
"strict","first_valid","goals","total_xg_squared_error","outcome_class","draw",16,104,0.153846153846154,4.45801438003532,2.59191789917918,6.36308170484379
"strict","first_valid","goals","total_xg_squared_error","outcome_class","home",40,104,0.384615384615385,2.62334283780675,1.74681258240658,3.59089285828205
"strict","first_valid","goals","total_xg_squared_error","overall","all",83,104,0.798076923076923,2.81730423888162,2.12833681430723,3.53980353175002
"strict","first_valid","goals","total_xg_squared_error","stage","group",52,52,1,3.50098765786938,2.63408947575371,4.42120519059322
"strict","first_valid","goals","total_xg_squared_error","stage","knockout",31,31,1,1.67048043928924,0.98508230129228,2.43650128896882
"strict","first_valid","over_2_5","over_2_5_brier","confidence","high",18,104,0.173076923076923,0.238212459995898,0.216135095553553,0.260072201554317
"strict","first_valid","over_2_5","over_2_5_brier","confidence","low",26,104,0.25,0.245801475427776,0.238351718724181,0.253686273201226
