"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral","score_source","actual_winner_team","home_team_canonical","away_team_canonical","home_team_fifa","away_team_fifa","result","match_id","is_home"
1899-03-18,"Wales","Scotland",0,6,"British Home Championship","Wrexham","Wales",FALSE,"martj42",NA,"Wales","Scotland","WAL",NA,0,"Wales_Scotland_1899-03-18",TRUE
1899-03-20,"England","Wales",4,0,"British Home Championship","Bristol","England",FALSE,"martj42",NA,"England","Wales","ENG","WAL",1,"England_Wales_1899-03-20",TRUE
1899-03-25,"Scotland","Northern Ireland",9,1,"British Home Championship","Glasgow","Scotland",FALSE,"martj42",NA,"Scotland","Ireland, Northern",NA,"NIR",1,"Scotland_Ireland, Northern_1899-03-25",TRUE
1899-04-08,"England","Scotland",2,1,"British Home Championship","Birmingham","England",FALSE,"martj42",NA,"England","Scotland","ENG",NA,1,"England_Scotland_1899-04-08",TRUE
1900-02-03,"Scotland","Wales",5,2,"British Home Championship","Aberdeen","Scotland",FALSE,"martj42",NA,"Scotland","Wales",NA,"WAL",1,"Scotland_Wales_1900-02-03",TRUE
1900-02-24,"Wales","Northern Ireland",2,0,"British Home Championship","Llandudno","Wales",FALSE,"martj42",NA,"Wales","Ireland, Northern","WAL","NIR",1,"Wales_Ireland, Northern_1900-02-24",TRUE
1900-03-03,"Northern Ireland","Scotland",0,3,"British Home Championship","Belfast","Ireland",FALSE,"martj42",NA,"Ireland, Northern","Scotland","NIR",NA,0,"Ireland, Northern_Scotland_1900-03-03",TRUE
1900-03-17,"Northern Ireland","England",0,2,"British Home Championship","Dublin","Ireland",FALSE,"martj42",NA,"Ireland, Northern","England","NIR","ENG",0,"Ireland, Northern_England_1900-03-17",TRUE
1900-03-26,"Wales","England",1,1,"British Home Championship","Cardiff","Wales",FALSE,"martj42",NA,"Wales","England","WAL","ENG",0.5,"Wales_England_1900-03-26",TRUE
1900-04-07,"Scotland","England",4,1,"British Home Championship","Glasgow","Scotland",FALSE,"martj42",NA,"Scotland","England",NA,"ENG",1,"Scotland_England_1900-04-07",TRUE
1901-02-23,"Scotland","Northern Ireland",11,0,"British Home Championship","Glasgow","Scotland",FALSE,"martj42",NA,"Scotland","Ireland, Northern",NA,"NIR",1,"Scotland_Ireland, Northern_1901-02-23",TRUE
1901-03-02,"Wales","Scotland",1,1,"British Home Championship","Wrexham","Wales",FALSE,"martj42",NA,"Wales","Scotland","WAL",NA,0.5,"Wales_Scotland_1901-03-02",TRUE
1901-03-09,"England","Northern Ireland",3,0,"British Home Championship","Southampton","England",FALSE,"martj42",NA,"England","Ireland, Northern","ENG","NIR",1,"England_Ireland, Northern_1901-03-09",TRUE
1901-03-18,"England","Wales",6,0,"British Home Championship","Newcastle","England",FALSE,"martj42",NA,"England","Wales","ENG","WAL",1,"England_Wales_1901-03-18",TRUE
1901-03-23,"Northern Ireland","Wales",0,1,"British Home Championship","Belfast","Ireland",FALSE,"martj42",NA,"Ireland, Northern","Wales","NIR","WAL",0,"Ireland, Northern_Wales_1901-03-23",TRUE
1901-03-30,"England","Scotland",2,2,"British Home Championship","London","England",FALSE,"martj42",NA,"England","Scotland","ENG",NA,0.5,"England_Scotland_1901-03-30",TRUE
1902-02-22,"Wales","Northern Ireland",0,3,"British Home Championship","Cardiff","Wales",FALSE,"martj42",NA,"Wales","Ireland, Northern","WAL","NIR",0,"Wales_Ireland, Northern_1902-02-22",TRUE
1902-03-01,"Northern Ireland","Scotland",1,5,"British Home Championship","Belfast","Ireland",FALSE,"martj42",NA,"Ireland, Northern","Scotland","NIR",NA,0,"Ireland, Northern_Scotland_1902-03-01",TRUE
1902-03-03,"Wales","England",0,0,"British Home Championship","Wrexham","Wales",FALSE,"martj42",NA,"Wales","England","WAL","ENG",0.5,"Wales_England_1902-03-03",TRUE
